Day,Answer,5points,4points,3points,2points,1point,syn1,syn2,syn3
23,Titanium,This element is the 9th most abundant element in the earth's crust,This element was discovered in Cornwall by William Gregor in 1791,"Most of the mined ore of this element is used to produce intensely white pigments used in paints, toothpaste and plastics",It has the highest strength-to-density ratio of any metallic element,It was named after the Titans of Greek Mythology,Ti,22,
24,Spider Silk,A Canadian biotech company used goats to produce this material from their milk,This material is stronger than steel and tougher than Kevlar,This golden cape is made of this material and took 8 years to make,This material is made up of mostly protein and water,"These are used by arthropods for different things, such as catching prey, or for their nests/cocoons",spider web,,
25,Nitrous Oxide,"This chemical is an important ""ingredient"" in racing cars and rockets to increase the power output of engines",First synthesized in 1772 by English philosopher and chemist Joseph Priestley,"Industrially, it is produced by heating ammonium nitrate to 250 C",It is one of the greenhouse gases and contributes significantly to global warming,It has significant uses in dentistry and medicine as an anaesthetic,Laughing Gas,nitrous,N2O
26,Lithium,This element was first detected in a petalite ore in 1817,It is the least dense element under standard conditions,Salts of this element have been proven to be an effective mood stabilizer or antidepressant,This element can be commonly found in your batteries,The name of this element comes from the Greek word lithos which means stone,Li,3,
27,Acetone,The industrial production of this compound was developed during World War I by Chaim Weizmann,Formation of this compound in your body tissue is increased when you go on a prolonged fast or a high-fat low-carb diet,This is the simplest and smallest ketone,This is very commonly used in a laboratory setting for rinsing glassware,It is an active ingredient in nail polish remover,,,
28,Cholesterol,A human male weighing 150 lb normally synthesizes 1g of this type of compound,It is a class of organic molecule that is a precursor to bile acid,It is a modified steroid and a type of lipid,Major dietary sources of this compound include red meat and eggs,The level of this compound in your blood have an exponential effect on your cardiovascular health,,,
29,Vanillin,The European bark beetle uses this compound as a signal to look for host trees to lay its eggs,A natural source of this compound is an orchid native to Mexico,"It is a precursor to L-Dopa, a drug used to treat Parkinson's disease","According to a published study in Current Biology, this is compound gives off the world's favourite scent",This compound is responsible for UK's favourite ice cream flavour,Vanilla,Vanillic aldehyde,
30,Morphine,An elixir based on this compound has been attributed to alchemists during Byzantine times,"It is an endogenous opioid in humans that can be synthesized from different cells, including white blood cells",The primary source of this compound is poppy straw,It is a pain medication from the opiate family,"It was named after the greek god of dreams, Morpheus, as this compound can make you feel sleepy",,,
31,Aspartame,It is a methyl ester of a dipeptide comprised of aspartic acid and phenylalanine,"Unlike humans, rodents cannot recognize this compound due to our differences in taste receptors",This compound is an example of an artificial sweetener,"In 1965, James Schlatter discovered the compound's sweet taste when he licked his finger after lifting a contaminated piece of paper","It is very commonly used as a sugar substitute, being 200x sweeter than sugar",Methyl L-_-aspartyl-L-phenylalaninate,,
32,msg,"This compound was first prepared in 1908 by Japanese biochemist, Kikunae Ikeda","The Suzuki brothers began commercialization of this compound in 1909 using the term ""Ajinomoto"" meaning essence of taste",This compound is naturally found in tomatoes and cheese,"There was a popular disproven myth that this compound causes headaches, known as ""Chinese Restaurant Syndrome""","It is responsible for the savoury or ""umami"" taste of a lot of dishes",sodium glutamate,Sodium 2-aminopentanedioate,Monosodium Glutamate
33,Citric Acid,More than two million tonnes of this weak acid is produced each year,"In 1893,  C. Wehmer discovered that penicillium mould could produce this acid from sugar","This acid is a very important part of the Krebs Cycle, a central metabolic pathway for both animals and plants",It is very commonly used in flavouring and as a preservative in food and beverages,This compound was first extracted from lemons,,,
34,Teflon,"This material is accidentally discovered by Roy J. Plunkett, while he was working for DuPont trying to develop a new refrigerant",This material has one of the lowest coefficients of friction among any solids,One of its uses is as an anti-friction component in ski bindings,This is a synthetic fluoropolymer,This material's properties make it ideal as a coating for non-stick pans and cookware,,Polytetrafluoroethylene,
35,Tungsten,"This element has the highest melting point of 3,422 C among all metals in pure form","This element is mostly non-reactive. It does not react with water, acids, bases, oxygen or air at room temperature","The element is mostly consumed for the production of hard materials, and of alloys, and steels",It is the heaviest element known to be biologically functional as it's used by some bacteria in their enzymes.,"This element is also known as Wolfram, which is derived from the German word meaning wolf cream",W,74,
36,Aspirin,"In 1852, Charles Gerhardt had one of the first true claims to have synthesized and discovered this compound","The basis of the discovery of this compound is from willow bark, a traditional medicine used by ancient Egyptians ",This compound is being used to prevent further heart attacks for people at high risk.,"This compound is very commonly used to reduce pain, fever or inflammation",This is the most commonly used drug in the world,acetylsalicylic acid,acetylsalicylate,
37,Penicillin,"In 1945, Dorothy Hodgkin deciphered the structure of this compound using X-ray crystallography","The key structural feature of this compound is its four-membered Beta-lactam ring, responsible for its antibacterial activity","During World War II, the use of this compound reduced the mortality rate among the Allied Forces by up to 15%",This is a group of antibiotic originally obtained from moulds,"It was first discovered in 1928 by Scottish scientist, Alexander Fleming",,,
38,Diamond,Most of this mineral is between 1 billion to 3.5 billion years old,"In 1772, French scientist Antoine Lavoisier showed that the only product of burning it is carbon dioxide",About 49% of this mineral is mined from central and south Africa,This mineral has the highest hardness and thermal conductivity among any natural material,"Commonly called a girl's best friend, and marketed by De Beers as something that lasts forever",,,
39,Chloroform,"The first report of this compound was by the French chemist, Eugène Soubeiran, in 1831",Emission of this compound is mostly natural; both seaweeds and fungi produce it,This compound is a precursor to make Teflon,"In industry, this compound is produced through heating a mixture of chlorine and chloromethane or methane",Crime fiction authors like to use this compound as a sedative in their story plots,trichloromethane,methyl trichloride,
40,Nicotine,"When this compound was first isolated in Germany by Posselt and Reimann, it was thought to be a poison",This chemical travels to the brain quickly within 10s and competes with acetylcholine to dock on receptors,"When this chemical reaches your brain, it triggers your 'fight or flight' hormone: adrenaline",This has been used as an insecticide in the 1690s,It is naturally produced in the nightshade family of plants like tobacco,Nicorette,,
41,Vitamin D,This is a group of fat-soluble secosteroids - another term for steroid with a broken ring,A common source of this class of compound is in the flesh of fatty fish,You produce this class of compound under your skin,Studies figuring out the dietary substance lacking among kids suffering from rickets helped the discovery of this compound,You need sunlight to produce this class of compound,,,
